device_id,video_url
"D81142574","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142574_2021-03-19_23-32-09.mp4"
"D81142592","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142592_2021-03-19_01-39-48.mp4"
"D81142603","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142603_2021-03-20_00-18-49.mp4"
"D81142607","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142607_2021-03-20_00-38-13.mp4"
"D81142625","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142625_2021-03-18_23-54-16.mp4"
"D81142664","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142664_2021-03-19_01-16-01.mp4"
"D81142728","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142728_2021-03-20_03-00-18.mp4"
"D81142740","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142740_2021-03-19_03-26-42.mp4"
"D81142787","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142787_2021-03-20_00-42-06.mp4"
"D81142789","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142789_2021-03-19_01-04-23.mp4"
"D81142792","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142792_2021-03-20_02-56-01.mp4"
"D81142801","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142801_2021-03-19_07-37-34.mp4"
"D81142815","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142815_2021-03-19_00-58-38.mp4"
"D81142817","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142817_2021-03-20_00-43-33.mp4"
"D81142877","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142877_2021-03-20_00-02-49.mp4"
"D81142882","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142882_2021-03-20_01-47-30.mp4"
"D81142934","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142934_2021-03-20_00-37-20.mp4"
"D81142944","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142944_2021-03-19_02-13-42.mp4"
"D81142997","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81142997_2021-03-19_02-19-27.mp4"
"D81143082","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81143082_2021-03-20_00-34-58.mp4"
"D81143089","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81143089_2021-03-18_23-55-33.mp4"
"D81143105","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81143105_2021-03-20_00-00-26.mp4"
"D81143110","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81143110_2021-03-20_01-17-10.mp4"
"D81143121","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81143121_2021-03-20_00-36-17.mp4"
"D81143130","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81143130_2021-03-20_00-05-25.mp4"
"D81143147","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81143147_2021-03-19_08-17-32.mp4"
"D81143153","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81143153_2021-03-20_05-42-01.mp4"
"D81143234","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81143234_2021-03-20_01-59-50.mp4"
"D81143241","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81143241_2021-03-20_00-09-35.mp4"
"D81143271","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81143271_2021-03-20_00-06-19.mp4"
"D81144142","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81144142_2021-03-20_00-27-32.mp4"
"D81144806","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81144806_2021-03-20_00-33-26.mp4"
"D81144885","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81144885_2021-03-20_03-50-49.mp4"
"D81146550","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81146550_2021-03-20_00-56-49.mp4"
"D81146657","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81146657_2021-03-19_01-43-26.mp4"
"D81146884","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D81146884_2021-03-19_00-05-14.mp4"
"D88628133","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628133_2021-03-20_00-44-46.mp4"
"D88628152","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628152_2021-03-19_00-21-39.mp4"
"D88628358","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628358_2021-03-20_00-32-39.mp4"
"D88628422","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628422_2021-03-20_04-15-19.mp4"
"D88628528","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628528_2021-03-19_09-02-17.mp4"
"D88628590","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628590_2021-03-19_01-01-47.mp4"
"D88628597","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628597_2021-03-20_04-14-57.mp4"
"D88628632","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628632_2021-03-20_02-47-20.mp4"
"D88628637","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628637_2021-03-19_00-04-50.mp4"
"D88628641","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628641_2021-03-20_00-45-28.mp4"
"D88628642","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628642_2021-03-20_00-07-29.mp4"
"D88628651","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628651_2021-03-20_01-20-12.mp4"
"D88628662","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628662_2021-03-20_08-18-56.mp4"
"D88628663","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628663_2021-03-19_23-47-12.mp4"
"D88628669","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628669_2021-03-20_08-42-07.mp4"
"D88628670","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628670_2021-03-20_00-30-20.mp4"
"D88628676","https://prod-jiandu-shanghai.oss-cn-shanghai.aliyuncs.com/D88628676_2021-03-18_23-44-26.mp4"
